703860 PETERSBURG             AK  -9  N56 48  W132 57    33  1009
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  2  1090 J8   601  1569 J8  1888   636 J8   188  3044 13303  6.1  5.6  0.94  0.19   3.35  -3.71  -0.53   1.04  78   518     0  1.3
  3  2121 J8  1083  2125 J8  2354  1213 J8   290  5456 16344  6.4  5.6  0.69  0.22   6.40  -1.58   2.33   3.84  72   493     0  1.8
  4  3425 J8  1264  2636 J8  2214  2049 J8   479  8206 19352  7.7  6.0  0.91  0.25  11.08   2.12   6.69   8.05  77   352     0  1.5
  5  4862 J8  2085  4070 J8  3643  2434 J8   683 10440 21964  5.6  4.7  1.44  0.25  14.95   6.43  10.76  11.79  75   237     0  1.6
  6  4449 J8  1755  2641 J8  2726  2767 J8   451 11461 23334  8.2  7.4  1.49  0.24  16.77   8.56  12.68  13.58  75   170     0  1.3
  7  4525 J8  1894  3451 J8  3354  2474 J8   510 10871 22475  6.9  6.1  1.90  0.20  18.83   9.85  14.41  15.38  74   124     0  1.3
  8  4065 J8  1621  3511 J8  2755  2085 J8   383  8908 20007  6.5  5.6  2.00  0.16  17.99   8.92  13.52  14.78  75   151     0  1.1
  9  2481 J8  1190  2581 J8  2654  1308 J8   297  6294 17109  7.7  7.0  1.74  0.11  14.26   6.23   9.97  11.27  82   243     0  0.8
 10  1169 J8   700  1311 J8  1783   714 J8   223  3717 14102  8.8  8.5  1.40  0.08  10.22   4.61   7.43   8.43  83   338     0  0.8
 11   438 J8   212   299 J8   501   378 J8   120  1856 11228  9.1  9.0  0.87  0.07   4.94   0.39   2.73   3.42  79   470     0  0.7
 12   296 J8   105   379 J8   614   243 J8    46  1109  9590  8.7  8.5  0.93  0.08   4.50   0.60   2.73   3.18  86   489     0  1.3
 13  2442 J8  1764  2099 J8  1273  1382 J8   940  6074 16618  7.4  6.7  1.25  0.17  10.21   2.99   6.60   7.69  78  4265     0  1.2
 1994
  1   295 J8   151   188 J8   429   262 J8    89  1517 10588  9.5  9.1  0.94  0.11   1.45  -1.77  -0.10   0.27  89   573     0  0.8
  2   945 J8   567  1116 J8  1721   620 J8   188  3027 13277  7.9  7.0  0.65  0.14  -2.01  -6.58  -4.26  -3.54  82   633     0  2.1
  3  1645 J8   810  1081 J8  1368  1183 J8   308  5434 16317  9.1  8.0  0.83  0.18   5.97   0.57   3.13   4.07  89   467     0  2.9
  4  3470 J8  1426  2963 J8  2713  1913 J8   447  8185 19326  6.6  5.6  0.89  0.21  10.30   1.28   6.02   7.42  81   376     0  2.6
  5  4388 J8  1550  2943 J8  2604  2619 J8   491 10425 21942  7.8  6.4  1.15  0.22  12.86   3.53   8.55   9.55  77   314     0  2.4
  6  4015 J8  1594  2086 J8  2522  2723 J8   408 11459 23332  8.1  7.6  1.56  0.22  15.84   7.84  12.21  13.06  79   195     0  1.7
  7  4349 J8  1877  3254 J8  3855  2459 J8   663 10882 22487  7.3  6.8  1.98  0.18  17.66   9.42  13.74  14.65  78   148     0  1.4
  8  4445 J8  1566  4707 J8  3141  1812 J8   445  8928 20029  5.9  4.8  2.22  0.14  19.26  10.35  14.80  15.92  80   110     0  1.5
  9  1905 J8   979  1197 J8  2024  1360 J8   317  6316 17139  8.5  8.0  1.50  0.10  12.94   7.15  10.23  10.98  89   248     0  1.7
 10  1094 J8   567   831 J8  1415   818 J8   247  3736 14126  8.9  8.1  1.12  0.07   9.31   4.48   6.96   7.72  85   355     0  2.2
 11   522 J8   311   573 J8  1145   403 J8   136  1867 11247  8.9  8.5  0.71  0.06   2.01  -1.22   0.47   0.90  90   538     0  1.9
 12   353 J8   132   606 J8   879   269 J8    68  1110  9597  8.2  7.2  0.76  0.07   0.93  -2.42  -0.65  -0.14  88   591     0  1.9
 13  2286 J8  1714  1795 J8  1386  1370 J8   922  6074 16617  8.1  7.3  1.19  0.14   8.88   2.72   5.92   6.74  84  4549     0  1.9
 1995
  1   385 J8   191   608 J8   915   286 J8    90  1509 10570  7.6  7.2  0.89  0.10   1.63  -2.48  -0.49   0.29  88   581     0  1.4
  2  1026 J8   594  1338 J8  1618   638 J8   212  3010 13252  6.8  6.0  0.80  0.13   2.50  -2.99  -0.17   0.76  80   520     0  2.0
  3  1767 J8   674  1750 J8  2310  1124 J8   337  5411 16290  7.2  6.6  0.74  0.17   4.67  -2.74   1.07   2.36  80   538     0  2.1
  4  3563 J8  1610  3149 J8  2906  1862 J8   385  8163 19299  6.7  5.7  0.90  0.20  10.97   0.92   6.44   7.96  73   372     0  2.2
  5  4418 J8  1706  3282 J8  2929  2475 J8   471 10410 21926  6.6  5.9  1.24  0.21  15.77   5.42  10.79  11.94  70   240     0  2.1
  6  4610 J8  1797  2948 J8  2961  2776 J8   484 11456 23328  7.7  6.8  1.72  0.21  16.86   7.94  12.88  13.78  74   179     1  2.0
  7  4239 J8  1901  3025 J8  3583  2445 J8   512 10893 22504  7.7  6.8  2.14  0.17  17.27   9.83  13.68  14.47  82   149     1  1.5
  8  3055 J8  1236  2001 J8  2182  1984 J8   283  8948 20055  8.2  7.4  1.85  0.13  15.66   7.85  11.83  12.80  86   204     0  1.4
  9  2589 J8  1032  2664 J8  2420  1378 J8   326  6338 17159  6.9  6.2  2.11  0.09  16.27   7.70  11.99  13.24  82   190     0  1.4
 10  1108 J8   548  1058 J8  1592   798 J8   238  3755 14153  8.6  8.1  1.03  0.06   8.50   4.43   6.35   7.04  87   368     0  1.7
 11   466 J8   249   376 J8  1037   388 J8   124  1878 11271  8.9  8.7  0.79  0.05   3.17  -0.70   1.39   1.89  84   513     0  1.3
 12   318 J8   137   480 J8   819   253 J8    58  1112  9599  8.8  8.0  0.85  0.06   0.58  -3.31  -1.31  -1.03  83   611     0  1.1
 13  2295 J8  1655  1890 J8  1107  1367 J8   919  6074 16617  7.6  7.0  1.26  0.13   9.49   2.66   6.21   7.12  81  4464     1  1.7
 1996
  1   551 J8   271  1421 J8  1312   301 J8   108  1501 10550  5.1  4.8  0.59  0.10  -4.42  -9.94  -7.27  -6.15  78   791     0  1.0
  2   972 J8   630  1141 J8  1747   625 J8   182  3030 13276  8.1  7.7  0.81  0.13   2.42  -2.62   0.01   0.77  85   534     0  1.7
  3  2143 J8  1127  2367 J8  2344  1153 J8   283  5478 16365  6.2  5.7  0.83  0.17   4.98  -2.43   1.32   2.66  72   529     0  1.5
  4  3296 J8  1174  2464 J8  2405  2046 J8   489  8227 19371  8.0  6.2  0.85  0.20   9.53   0.41   5.16   6.43  72   401     0  2.2
  5  5054 J8  1677  4653 J8  3374  2370 J8   531 10452 21976  5.7  4.7  1.00  0.21  13.20   3.20   8.49   9.63  67   314     0  1.9
  6  4002 J8  1573  1976 J8  2455  2765 J8   498 11462 23336  8.2  7.8  1.36  0.21  13.88   8.05  11.06  11.64  76   221     0  1.9
  7  3189 J8  1155   962 J8  1682  2616 J8   291 10860 22456  9.2  8.8  1.88  0.17  16.07   9.44  12.90  13.57  75   173     0  1.5
