701718 AMBLER                 AK  -9  N67  6  W157 51    88  1003
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1    51 J8    59    98 J9   196    44 J8    46   200  5507  7.0  6.1  0.32  0.11 -20.63 -28.00 -24.40 -24.66  85  1322     0  2.5
  2   486 J8   250   680 J8   683   376 J8   162  1353 11156  7.1  6.2  0.55  0.12 -12.81 -19.35 -15.98 -15.34  59   963     0  3.5
  3  1716 J8   709  2176 J8  1748  1062 J8   281  3787 16201  6.6  5.3  0.47  0.13  -9.07 -19.75 -14.19 -13.36  54  1015     0  2.6
  4  3571 J8  1158  4238 J8  3104  1843 J8   442  7012 21160  5.9  4.7  0.67  0.14  -0.64  -8.00  -4.45  -3.71  58   680     0  4.1
  5  4690 J8  1257  5071 J8  3738  2326 J8   770  9979 26581  6.2  5.7  1.09  0.14   8.91   1.06   5.06   5.45  58   414     0  3.5
  6  5773 J8  1374  5824 J8  3095  2734 J8   606 11541 31689  6.3  5.0  1.58  0.13  18.64   8.91  13.93  13.94  53   137     1  3.3
  7  4934 J8  1553  5182 J8  2828  2397 J8   424 10641 28784  6.1  5.3  2.07  0.11  20.84  11.21  16.28  16.52  59    90    18  2.7
  8  3117 J8  1007  3329 J8  2636  1706 J8   359  7938 22498  7.1  6.5  1.49  0.09  12.84   5.44   9.26   9.96  71   285     0  2.6
  9  1715 J8   757  1688 J8  1576  1135 J8   353  4747 17573  8.5  7.7  0.98  0.07   5.06  -0.98   2.00   2.81  76   489     0  3.2
 10   590 J8   253   852 J8  1095   456 J8   206  1998 12654  8.1  7.5  0.77  0.05  -1.88  -5.35  -3.35  -2.95  83   680     0  3.3
 11   128 J8   107   390 J8   358   104 J8    85   408  7217  7.2  6.5  0.52  0.04 -10.60 -16.55 -13.49 -13.43  77   957     0  3.7
 12     3 J9     5   110 J9   161     2 J9     3    13  1914  6.3  5.1  0.50  0.04 -11.33 -16.25 -13.60 -13.35  68   996     0  4.0
 13  2231 J8  2108  2470 J8  2159  1182 J8   998  4968 16911  6.9  6.0  0.92  0.10  -0.06  -7.30  -3.58  -3.18  67  8028    19  3.3
 1994
  1    58 J8    57   324 J9   349    45 J8    46   195  5456  6.8  5.3  0.45  0.06 -15.06 -22.06 -18.50 -18.31  61  1144     0  3.0
  2   582 J8   347  1682 J8  1432   321 J8   169  1338 11115  5.7  4.6  0.44  0.07 -15.02 -22.25 -18.29 -17.52  59  1035     0  2.5
  3  1763 J8   628  3097 J8  2412   899 J8   388  3762 16161  5.9  5.0  0.36  0.09 -17.35 -24.60 -20.76 -20.10  63  1219     0  3.3
  4  3428 J8  1098  3454 J8  2169  2029 J8   442  6985 21116  7.0  5.7  0.56  0.10  -5.88 -13.21  -9.57  -8.82  62   836     0  3.1
  5  5288 J8  1472  6505 J8  3539  2165 J8   522  9959 26527  5.2  4.1  1.04  0.10   9.70   1.35   5.75   6.15  58   397     0  3.5
  6  5762 J8  1389  6458 J8  3227  2482 J8   418 11537 31664  6.3  5.1  1.44  0.10  16.22   5.99  11.60  11.60  55   220     3  2.5
  7  4825 J8  1591  5353 J8  3665  2243 J8   466 10657 28834  6.9  5.8  2.03  0.08  18.60  11.20  14.82  15.02  71   114     7  2.3
  8  2571 J8  1205  2043 J8  2643  1663 J8   412  7963 22540  8.5  8.0  1.70  0.06  13.23   7.46  10.41  10.80  78   250     2  2.8
  9  1783 J8   719  2523 J8  2504  1016 J8   319  4772 17613  6.9  6.3  1.15  0.05   6.98   0.18   3.57   4.50  65   443     0  3.0
 10   765 J8   342  1604 J8  1527   493 J8   203  2017 12698  7.4  6.8  0.57  0.03  -5.58 -11.34  -8.46  -7.72  68   830     0  2.7
 11   151 J8   120   748 J8   775   111 J8    98   415  7261  5.9  5.3  0.40  0.03 -16.59 -23.89 -20.22 -19.80  76  1157     0  3.0
 12     3 J9     6   190 J9   314     2 J9     2    13  1932  5.7  5.2  0.36  0.03 -19.11 -25.12 -21.98 -22.01  74  1254     0  2.7
 13  2248 J8  2119  2832 J8  2228  1122 J8   946  4968 16910  6.5  5.6  0.88  0.07  -2.49  -9.69  -5.97  -5.52  66  8898    13  2.9
 1995
  1    59 J8    59   366 J9   417    46 J8    47   191  5408  6.6  5.8  0.45  0.04 -16.99 -23.28 -20.04 -19.98  80  1192     0  2.2
  2   554 J8   273  1918 J8  1518   284 J8   132  1323 11076  4.8  4.2  0.47  0.06 -11.15 -18.74 -15.12 -14.71  67   932     0  3.3
  3  1924 J8   790  3549 J8  2769   909 J8   368  3738 16121  5.5  4.3  0.42  0.08 -15.75 -24.15 -19.71 -18.81  74  1187     0  2.7
  4  3732 J8  1044  4648 J8  2829  1851 J8   476  6958 21073  6.7  4.7  0.72  0.09  -1.53  -8.80  -5.00  -4.23  70   705     0  3.4
  5  4606 J8  1649  5426 J8  3990  2045 J8   516  9938 26475  5.4  5.0  1.12  0.09  10.51   2.10   6.34   6.73  65   373     0  3.3
  6  5788 J8  1271  6622 J8  3331  2508 J8   550 11533 31648  6.0  5.2  1.41  0.09  15.31   6.23  10.99  11.00  60   227     0  2.3
  7  4811 J8  1708  5527 J8  4024  2131 J8   466 10673 28882  6.6  5.6  1.98  0.08  18.74  10.20  14.71  14.90  63   122     2  2.4
  8  3075 J8  1168  3081 J8  2707  1746 J8   443  7989 22586  7.6  7.0  1.75  0.06  15.21   6.62  10.86  11.71  72   230     0  2.1
  9  1893 J8   768  2724 J8  2429  1033 J8   295  4798 17653  7.2  6.4  1.42  0.04  11.50   4.60   8.00   8.88  72   308     0  3.0
 10   766 J8   370  1367 J8  1475   513 J8   199  2035 12740  8.1  7.1  0.73  0.03  -2.59  -7.39  -5.01  -4.10  69   723     0  3.2
 11   144 J8    86  1020 J9   891    95 J8    82   422  7307  4.4  3.9  0.53  0.02 -14.22 -21.41 -17.72 -17.18  73  1084     0  2.6
 12     3 J9     5   168 J9   235     2 J9     3    14  1947  7.4  5.3  0.46  0.03 -17.22 -22.41 -19.81 -19.70  67  1182     0  3.5
 13  2279 J8  2069  3035 J8  2157  1097 J8   919  4968 16910  6.3  5.4  0.95  0.06  -0.68  -8.04  -4.29  -3.79  69  8266     3  2.8
 1996
  1    46 J8    51   220 J9   349    38 J8    38   187  5359  8.2  7.6  0.40  0.04 -18.17 -24.44 -21.25 -21.10  74  1229     0  2.7
  2   420 J8   203   579 J8   755   345 J8   150  1342 11117  9.2  7.1  0.29  0.06 -16.17 -25.74 -20.76 -20.14  79  1139     0  3.4
  3  1602 J8   693  2128 J8  2310  1000 J8   301  3812 16241  8.2  6.7  0.51  0.08  -8.03 -15.94 -11.91 -11.02  64   940     0  3.2
  4  3376 J8  1036  3701 J8  2666  1879 J8   430  7039 21196  7.7  6.4  0.52  0.09  -5.39 -13.47  -9.25  -8.33  57   833     0  4.5
  5  3722 J8  1486  3046 J8  3090  2299 J8   393  9998 26631  8.2  7.2  1.03  0.09   9.07   0.32   5.00   5.43  62   423     0  2.6
  6  5563 J8  1438  6439 J8  3398  2447 J8   355 11543 31692  7.1  4.7  1.48  0.09  15.41   6.36  11.10  11.11  61   224     0  2.5
  7  3954 J8  1744  3090 J8  3972  2421 J8   371 10623 28721  9.3  7.5  1.90  0.08  17.21   9.45  13.36  13.51  69   155     1  2.5
  8  3404 J8  1230  4333 J8  3983  1653 J8   558  7912 22459  7.9  5.4  1.40  0.06  13.69   4.75   9.42  10.29  64   286     3  3.0
  9  2407 J8  1002  4951 J8  3247   827 J8   278  4721 17535  5.3  4.3  1.00  0.04   6.46  -1.78   2.38   3.56  63   480     0  3.8
 10   971 J8   477  3555 J8  2396   342 J8   192  1979 12616  4.1  3.7  0.53  0.03  -5.60 -12.95  -9.03  -8.11  72   856     0  3.4
 11   139 J8    99   964 J8   988    85 J8    61   400  7165  5.5  5.1  0.62  0.02 -10.34 -16.07 -13.01 -13.08  71   946     0  3.5
 12     5 J9     7   395 J9   363     2 J9     3    12  1896  4.6  2.6  0.43  0.03 -17.41 -24.35 -20.71 -20.94  55  1216     0  2.5
 13  2134 J8  1865  2784 J8  1976  1111 J8   977  4964 16886  7.1  5.7  0.84  0.06  -1.61  -9.49  -5.39  -4.90  66  8725     4  3.1
 1997
  1    59 J8    54   554 J9   455    39 J8    35   201  5513  4.7  3.6  0.41  0.04 -14.59 -24.56 -19.58 -19.54  75  1175     0  3.3
  2   524 J8   279  1145 J8  1109   366 J8   170  1355 11169  6.9  4.8  0.50  0.06  -7.45 -14.32 -10.30  -9.71  73   818     0  4.1
  3  2306 J8   706  5153 J8  1885   845 J8   358  3790 16207  4.2  1.6  0.31  0.08 -11.30 -20.24 -15.24 -14.29  63  1057     0  3.1
  4  3932 J8  1239  5402 J8  3286  1749 J8   564  7016 21165  5.6  4.1  0.69  0.09   1.52  -7.31  -2.58  -1.68  61   637     0  3.3
  5  5035 J8  1603  6000 J8  3900  2325 J8   584  9982 26589  6.3  4.5  0.99  0.09  11.19   2.67   7.09   7.54  57   353     0  3.3
  6  6393 J8  1332  8093 J8  3563  2422 J8   638 11542 31689  6.9  3.7  1.72  0.09  20.33   9.49  15.13  15.13  56   118    16  2.5
  7  5526 J8  1701  6993 J8  4483  2220 J8   783 10638 28774  6.1  4.0  1.93  0.08  18.38   9.13  14.23  14.45  66   143     1  2.6
  8  2918 J8  1238  2964 J8  2998  1700 J8   412  7935 22492  8.2  7.2  1.86  0.06  15.17   7.92  11.60  12.21  82   211     1  2.4
  9  1826 J8   789  2795 J8  2893   971 J8   321  4744 17565  7.5  6.4  1.49  0.04  10.41   3.43   6.83   7.82  73   342     0  2.8
 10  1032 J8   440  3630 J8  1872   382 J8   235  1996 12651  4.3  2.8  0.55  0.03  -7.34 -13.48 -10.28  -9.41  69   891     0  3.0
 11   165 J8   140  1229 J8  1106    87 J8    64   407  7206  5.2  4.9  0.56  0.02  -7.05 -12.02  -9.12  -8.89  36   836     0  3.5
 12     3 J9     4   296 J9   306     1 J9     2    13  1912  3.0  2.8  0.36  0.03 -17.81 -23.36 -20.55 -20.57  71  1206     0  3.0
 13  2476 J8  2279  3688 J8  2627  1092 J8   943  4968 16911  5.7  4.2  0.95  0.06   0.95  -6.89  -2.73  -2.24  65  7788    17  3.1
 1998
  1    67 J8    63   935 J8   614    37 J8    37   196  5462  2.8  2.4  0.43  0.04 -19.74 -24.94 -22.25 -21.78  65  1261     0  3.7
  2   637 J8   310  2431 J8  1475   297 J8   161  1340 11123  3.5  3.0  0.52  0.06 -13.39 -19.45 -16.18 -15.71  64   973     0  4.9
  3  1954 J8   588  3998 J8  2169   867 J8   404  3765 16167  4.0  3.5  0.63  0.08  -4.76 -11.59  -8.07  -7.13  62   822     0  3.3
