703080 ST PAUL ISLAND ARPT    AK  -9  N57 10  W170 13     7  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1   491 I5   227   708 I6   921   361 I5   105  1472 10509  7.5  7.0  0.49  0.12  -2.65  -7.60  -4.81  -4.54  79   727     0  8.2
  2   675 I5   329   646 I6  1268   517 I5   154  2989 13260  8.7  8.3  0.66  0.14  -1.04  -5.25  -2.64  -2.35  88   601     0  7.4
  3  1593 I5   795  1188 I6  1429  1104 I5   267  5408 16351  8.7  8.0  0.69  0.15  -0.67  -4.75  -2.53  -1.99  87   652     0  6.0
  4  2634 I5  1341  1677 I6  2070  1718 I5   416  8176 19407  8.7  8.3  0.72  0.17   3.27  -1.79   0.80   1.50  87   528     0  5.7
  5  2406 I5  1236   774 I6  1511  1927 I5   444 10428 22065  9.6  9.3  1.03  0.17   4.92   0.81   2.78   3.22  84   479     0  6.5
  6  3269 I5  1730  1568 I6  2708  2275 I5   501 11457 23468  9.0  8.5  1.35  0.16   8.92   3.37   6.33   6.82  83   366     0  5.8
  7  2693 I5  1342  1018 I6  1698  2053 I5   454 10854 22576  9.4  9.1  2.40  0.14  11.65   7.43   9.35   9.83  90   273     0  5.9
  8  2013 I5   933   686 I6  1446  1624 I5   331  8867 20055  9.5  9.3  2.27  0.11  12.35   8.44  10.32  10.78  89   246     0  6.1
  9  1688 I5   787   958 I6  1292  1272 I5   277  6232 17112  8.8  8.6  1.48  0.08  10.09   5.26   8.04   8.77  82   320     0  7.1
 10  1132 I5   518   960 I6   992   827 I5   222  3648 14053  8.9  8.6  1.08  0.06   7.05   3.01   5.26   5.91  79   412     0  7.1
 11   501 I5   203   660 I6   840   381 I5   105  1794 11125  8.6  8.3  0.84  0.05   4.69   0.52   3.04   3.45  78   472     0  8.7
 12   282 I5   117   426 I7   571   227 I5    59  1056  9462  8.5  8.4  0.54  0.05   0.38  -4.50  -1.38  -1.42  77   632     0  7.6
 13  1615 I5  1006   939 I6   379  1190 I5   726  6032 16620  8.8  8.5  1.13  0.12   4.91   0.41   2.88   3.33  84  5708     0  6.8
 1994
  1   292 I5   107   126 I6   199   272 I5    74  1464 10492  9.6  9.4  0.61  0.07  -1.32  -4.37  -2.63  -2.37  77   657     0  8.2
  2   857 I5   406   938 I6  1101   599 I5   167  2972 13237  8.6  8.4  0.67  0.09   0.60  -3.39  -1.18  -0.80  79   552     0  8.7
  3  1594 I5   797  1313 I6  1746  1066 I5   252  5386 16323  8.8  8.5  0.49  0.12  -5.00 -10.67  -7.42  -6.84  76   811     0  9.7
  4  2406 I5  1338  1625 I6  2556  1581 I5   316  8153 19380  8.5  8.4  0.57  0.13  -1.69  -5.31  -3.47  -3.12  79   655     0  8.1
  5  1928 I5   558   236 I6   425  1782 I5   335 10413 22045  9.9  9.8  0.99  0.14   2.61  -0.78   0.67   1.01  88   540     0  6.6
  6  2859 I5  1380   892 I6  1379  2232 I5   515 11454 23460  9.6  9.4  1.55  0.13   7.78   3.16   5.22   5.58  87   386     0  6.0
  7  2648 I5  1396  1082 I6  1782  1902 I5   341 10865 22589  9.6  9.4  2.21  0.11  10.56   6.53   8.28   8.66  92   303     0  5.7
  8  1783 I5   813   582 I6  1281  1482 I5   282  8887 20080  9.6  9.4  2.36  0.09  10.51   7.52   8.90   9.26  92   289     0  5.9
  9  1729 I5   621   924 I6  1029  1348 I5   280  6254 17136  9.1  8.9  1.65  0.06   9.11   4.92   7.16   7.76  86   339     0  6.7
 10  1092 I5   462   661 I6   819   881 I5   235  3667 14079  9.1  8.9  0.87  0.04   4.95   0.77   2.98   3.63  78   480     0  6.6
 11   544 I5   205   695 I6   648   412 I5   133  1804 11152  8.7  8.5  0.75  0.04   2.81  -1.82   0.84   1.04  75   535     0  8.7
 12   227 I5    63   101 I7   165   215 I5    46  1057  9462  9.4  9.3  0.62  0.04  -0.33  -3.78  -1.84  -1.58  77   632     0  9.1
 13  1497 I5   899   765 I6   466  1148 I5   677  6031 16620  9.2  9.0  1.11  0.09   3.38  -0.60   1.46   1.85  82  6179     0  7.5
 1995
  1   350 I5   136   347 I6   559   295 I5    74  1456 10469  8.9  8.7  0.51  0.06  -3.94  -7.34  -5.41  -5.23  79   743     0  8.2
  2   964 I5   534  1460 I6  1726   560 I5   196  2955 13207  7.6  7.0  0.64  0.08  -3.99  -7.40  -5.56  -5.13  86   673     0  9.6
  3  2284 I5  1116  3088 I6  2539  1050 I5   370  5363 16298  6.3  5.5  0.52  0.10  -3.83  -8.85  -6.09  -5.36  83   765     0  8.5
  4  2627 I5  1454  1883 I6  2412  1607 I5   454  8131 19354  8.3  8.0  0.74  0.12  -0.78  -5.44  -2.89  -2.24  86   643     0  7.1
  5  2653 I5  1092   922 I6  1252  2065 I5   446 10398 22025  9.5  9.3  1.09  0.13   4.85   0.11   2.23   2.73  89   491     0  6.1
  6  3239 I5  1677  1645 I6  2526  2161 I5   368 11452 23455  9.2  8.8  1.33  0.13   7.37   2.58   4.69   5.10  86   401     0  6.0
  7  2463 I5   976   658 I6  1104  2037 I5   374 10876 22607  9.8  9.6  1.98  0.11  10.27   6.38   7.99   8.36  92   310     0  4.9
  8  2273 I5   954   829 I6  1129  1797 I5   403  8907 20103  9.7  9.4  2.19  0.08  11.65   7.91   9.61  10.05  93   265     0  5.3
  9  2216 I5   973  2066 I6  2325  1321 I5   262  6277 17165  8.0  7.6  1.45  0.06  10.83   6.27   8.49   9.31  89   293     0  6.2
 10  1302 I5   612  1281 I6  1280   884 I5   213  3686 14106  8.4  7.9  0.92  0.04   6.15   1.27   3.92   4.76  83   453     0  6.8
 11   585 I5   212   812 I6   781   433 I5   131  1815 11170  8.0  7.6  0.59  0.03   2.15  -1.17   0.60   1.03  78   535     0  7.8
 12   217 I5    77   106 I7   259   202 I5    51  1059  9469  9.6  9.4  0.84  0.04   1.62  -0.66   0.72   0.98  88   553     0  8.1
 13  1764 I5  1026  1258 I6   831  1201 I5   729  6031 16619  8.6  8.2  1.07  0.08   3.53  -0.53   1.53   2.03  86  6126     0  7.0
 1996
  1   406 I5   212   564 I6   864   309 I5    74  1448 10456  8.3  8.2  0.62  0.06   1.00  -2.36  -0.49  -0.18  84   589     0  7.9
  2   870 I5   454   928 I7  1152   612 I5   195  2975 13233  8.0  7.8  0.66  0.08  -0.75  -5.14  -2.58  -2.12  83   617     0  9.8
  3  1879 I6  1072  1868 I7  2449  1097 I6   300  5431 16373  7.9  7.5  0.78  0.10   2.58  -1.32   0.68   1.19  88   549     0  8.0
  4  2328 I6  1211  1346 I7  2121  1638 I6   388  8196 19425  8.8  8.7  0.71  0.12   1.83  -2.37  -0.24   0.32  81   558     0  7.8
