722057 ORLANDO SANFORD AIRPOR FL  -5  N28 47  W081 15    17  1011
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  2617 J6   844  2556 J7  1656  1350 J6   179  6193 14848  6.9  6.6  2.98  0.12  22.73  13.71  17.78  19.90  74    53    49  3.2
  2  3515 J6  1132  3502 J7  1939  1538 J6   281  7477 15626  6.3  5.6  2.01  0.12  20.10   9.56  14.55  16.68  66   101     3  3.7
  3  4739 J6  1343  4383 J7  2309  1908 J6   371  9032 16537  5.8  5.0  2.21  0.14  22.93  11.93  17.17  19.31  65    57    30  4.4
  4  5972 J6  1226  5255 J7  2009  2247 J6   471 10356 17416  4.1  3.7  2.01  0.18  25.23  13.31  19.17  21.73  60    14    43  4.1
  5  6562 J6   950  5450 J7  1747  2504 J6   516 11135 18108  4.6  4.0  3.06  0.21  28.63  17.95  23.05  25.04  64     0   154  3.3
  6  6888 J6   718  5488 J7  1496  2723 J6   677 11395 18409  3.6  3.0  3.98  0.23  31.67  21.61  26.00  27.71  69     0   249  2.9
  7  6819 J6   562  5562 J7  1330  2620 J6   522 11205 18150  3.4  2.8  4.75  0.24  32.80  23.12  27.02  28.53  71     0   299  2.3
  8  6321 J6   601  5340 J7  1215  2412 J6   462 10544 17451  3.6  3.3  4.48  0.23  32.79  22.80  27.11  28.90  65     0   293  2.6
  9  5464 J6   509  4909 J7  1193  2155 J6   400  9398 16591  3.7  3.3  4.50  0.20  31.34  22.07  25.82  27.87  66     0   251  2.3
 10  4182 J6   891  3924 J7  1608  1798 J6   405  7893 15705  5.7  5.0  3.78  0.16  27.93  19.12  22.84  24.79  73     6   167  2.9
 11  3018 J6   940  3147 J7  1989  1390 J6   300  6471 14926  6.4  5.9  3.16  0.12  24.16  14.69  19.07  21.19  75    35    68  3.5
 12  2886 J6   662  3641 J7  1628  1187 J6   269  5764 14542  5.9  5.2  2.21  0.09  19.75   7.99  13.68  16.34  67   147     9  3.4
 13  4915 J6  1628  4430 J7  1048  1986 J6   534  8905 16526  5.0  4.4  3.26  0.17  26.67  16.49  21.11  23.17  68   413  1614  3.2
 1994
  1  3052 J6   696  3570 J7  1518  1343 J6   306  6185 14842  6.0  5.5  2.36  0.08  20.03   9.69  14.63  16.97  70   119    11  3.7
  2  3538 J5  1015  3383 J7  1969  1612 J5   399  7463 15619  7.0  6.2  2.49  0.09  23.10  13.46  17.88  19.98  73    47    45  3.7
  3  5187 J6   772  5273 J7  1630  1754 J6   452  9019 16528  5.3  4.5  2.50  0.11  25.54  13.84  19.32  21.59  67    28    70  4.3
  4  5893 J5   804  5140 J7  1514  2275 J5   453 10346 17409  4.4  3.8  3.05  0.15  27.82  17.21  22.12  24.42  72     3   129  3.4
  5  6595 J6   788  5703 J7  1506  2415 J6   497 11130 18102  4.2  3.9  3.39  0.19  30.21  19.01  24.12  26.09  69     0   195  3.1
  6  6829 J6   645  5642 J7  1473  2578 J6   573 11394 18411  4.3  3.5  4.65  0.21  31.33  22.35  25.79  27.21  79     0   255  2.6
  7  6412 J6   770  4832 J7  1447  2770 J6   446 11208 18153  4.8  3.9  4.46  0.22  32.31  22.62  26.34  27.90  78     0   283  2.6
  8  6238 J5   615  5205 J7  1231  2436 J5   520 10552 17460  4.2  3.3  4.61  0.21  30.75  22.52  25.73  27.26  81     0   257  2.4
  9  5494 J5   548  4885 J7  1234  2168 J5   405  9410 16600  4.5  3.7  4.57  0.18  29.71  21.84  24.92  26.62  81     0   223  2.6
 10  4412 J5   773  4626 J7  1549  1650 J5   317  7907 15718  4.8  4.3  3.70  0.14  27.78  19.86  23.21  25.05  79     0   170  3.1
 11  3057 J6   794  3052 J7  1655  1464 J6   256  6481 14931  6.4  5.8  3.16  0.11  25.76  17.12  20.94  22.85  79     6    99  3.5
 12  2668 J6   722  3050 J7  1817  1254 J6   247  5766 14544  6.8  5.8  2.54  0.08  21.17  13.27  16.77  18.63  80    65    31  3.3
 13  4948 J6  1536  4530 J7   992  1976 J6   522  8905 16526  5.2  4.5  3.46  0.15  27.13  17.73  21.81  23.72  76   268  1769  3.2
 1995
  1  3321 J6   767  4506 J7  2007  1179 J6   370  6178 14838  5.0  4.6  1.96  0.07  19.15   9.04  13.78  16.09  69   138     7  3.4
  2  3623 J6  1231  3806 J7  2071  1469 J6   327  7450 15612  6.7  6.0  2.17  0.08  21.43   9.93  15.37  17.62  64    94    20  3.9
  3  5108 J6  1002  5307 J7  2046  1732 J6   473  9005 16520  4.8  4.3  2.47  0.10  24.42  14.42  18.87  21.00  70    20    54  3.9
  4  6125 J6   875  5639 J7  1765  2097 J6   486 10336 17400  4.8  4.1  2.70  0.14  26.87  16.61  21.45  23.56  70     5   107  3.3
  5  6897 J6   453  6113 J7  1270  2326 J6   555 11125 18097  3.9  3.5  3.44  0.18  31.35  20.77  25.59  27.53  69     0   240  3.6
  6  6886 J6   727  5834 J7  1563  2506 J6   513 11393 18409  4.3  3.5  4.06  0.20  30.45  21.97  25.54  27.03  74     0   236  2.8
  7  6745 J6   487  5607 J7  1216  2491 J6   480 11212 18160  3.9  3.4  4.65  0.22  32.11  22.99  26.84  28.32  75     0   286  2.4
  8  6178 J6   731  4975 J7  1359  2541 J6   477 10560 17469  4.3  3.1  4.96  0.21  31.14  23.84  26.84  28.13  79     0   284  3.3
  9  5533 J5   650  5157 J7  1296  2026 J5   383  9422 16616  4.1  3.3  4.59  0.18  30.77  22.72  25.95  27.79  78     0   253  2.2
 10  4241 J6   942  4404 J7  1870  1602 J6   323  7920 15727  4.9  4.5  4.25  0.14  28.55  19.98  23.91  25.95  76     0   184  2.9
 11  3567 J6   668  4264 J7  1482  1343 J6   249  6491 14938  5.3  4.5  2.59  0.10  23.18  12.24  17.54  19.81  69    65    46  3.0
 12  2663 J6   721  3089 J7  1794  1222 J6   234  5768 14543  6.6  5.9  2.32  0.08  20.15  10.17  14.57  16.92  70   123    24  2.9
 13  5074 J6  1534  4892 J7   900  1878 J6   518  8905 16527  4.9  4.2  3.35  0.14  26.63  17.06  21.36  23.31  72   444  1740  3.1
 1996
  1  2912 J6   789  3387 J7  1599  1276 J6   203  6170 14834  6.7  6.0  2.03  0.07  20.17   8.11  14.09  16.89  68   143    13  3.5
  2  3968 J6  1067  4516 J7  2183  1396 J6   347  7464 15614  5.7  5.2  1.92  0.08  21.47   9.74  15.51  18.03  64   110    31  3.7
  3  4799 J6  1422  4591 J7  2227  1760 J6   406  9042 16539  5.6  4.9  2.17  0.10  21.90  10.46  15.98  18.22  65   103    37  4.3
  4  6290 J6   652  5820 J7  1262  2057 J6   451 10362 17414  4.9  4.4  2.40  0.14  26.05  14.75  20.37  22.61  65    16    78  3.2
  5  6800 J6   478  5851 J7  1372  2462 J6   556 11136 18109  4.1  3.6  3.34  0.18  30.01  20.01  24.38  26.29  71     0   207  3.0
  6  6513 J6   937  5081 J7  1699  2780 J6   531 11393 18407  5.0  4.0  4.27  0.20  30.58  21.29  25.08  26.60  76     0   228  2.9
  7  5342 J7  1383  3166 J7  2050  2957 J7   428 11202 18148  8.1  6.2  4.31  0.22  32.25  22.91  26.88  28.45  75     0   287  2.5
  8  5844 J7  1035  4709 J7  2047  2469 J7   608 10538 17447  4.5  3.5  4.47  0.21  31.36  22.77  26.30  27.90  76     0   271  2.5
  9  5997 J6   574  6380 J7  1310  1765 J6   474  9389 16595  1.7  1.3  4.09  0.18  30.59  22.16  25.50  27.44  76     0   241  2.5
 10  4560 J6   900  5366 J7  2131  1494 J6   464  7883 15706  3.4  2.7  3.45  0.14  26.98  18.62  22.51  24.47  73     5   144  3.5
 11  3514 J6   826  4420 J7  1988  1297 J6   319  6462 14925  3.8  3.1  2.59  0.10  23.46  13.91  18.51  20.67  69    32    42  3.9
 12  3440 J6   656  5580 J7  2042   894 J6   324  5764 14542  2.7  2.5  2.24  0.08  21.95  11.13  15.99  18.65  69    75    19  3.1
 13  4998 J6  1325  4906 J7   975  1884 J6   659  8900 16523  4.7  4.0  3.11  0.14  26.40  16.32  20.93  23.02  71   484  1598  3.2
 1997
  1  3640 J6   846  5886 J7  2315   898 J6   332  6194 14849  2.5  2.4  2.13  0.07  21.28  10.04  15.28  17.96  68   104    21  3.0
  2  4545 J5   932  6400 J7  2429  1135 J5   490  7478 15627  2.7  2.4  2.61  0.08  24.25  13.81  18.50  21.08  72    34    53  3.4
  3  5710 J6   874  6679 J7  2090  1502 J6   514  9034 16539  2.7  2.3  2.91  0.10  27.21  16.75  21.60  23.96  69     1   114  3.7
  4  6304 J6  1312  6379 J7  2583  1890 J6   590 10358 17418  2.7  2.5  2.83  0.14  26.38  15.74  20.86  22.96  65     6    88  4.1
  5  7062 J6  1104  6965 J7  2412  2059 J6   699 11136 18109  2.2  2.0  3.38  0.18  29.53  19.08  24.04  25.98  67     0   185  3.3
  6  7056 J6   847  6409 J7  1979  2374 J6   662 11395 18408  2.9  2.3  4.11  0.20  30.99  21.55  25.67  27.35  74     0   238  3.1
  7  7033 J6   783  6713 J7  1431  2206 J6   510 11204 18150  1.6  1.3  4.59  0.22  32.78  22.97  26.92  28.59  74     0   296  2.5
  8  6669 J5   544  6226 J7  1558  2232 J5   577 10542 17450  1.3  1.1  4.71  0.21  32.27  23.41  27.17  28.96  75     0   295  2.5
  9  5665 J6   872  5659 J7  1994  1967 J6   526  9396 16591  1.9  1.6  4.29  0.18  31.29  21.69  25.98  28.30  75     0   245  2.7
 10  4948 J6   753  6000 J7  1930  1455 J6   501  7892 15705  2.1  1.8  3.07  0.14  27.32  18.12  22.26  24.52  72     4   140  3.1
 11  3976 J6   645  5892 J7  1783  1012 J6   327  6469 14923  2.8  2.3  2.74  0.10  23.13  12.83  17.89  20.17  73    45    34  3.3
 12  3095 J6   910  4569 J7  2491   982 J6   289  5764 14542  4.2  3.8  2.68  0.08  20.44  11.03  15.54  17.62  73   111    31  3.4
 13  5475 J6  1416  6148 J7   629  1643 J6   543  8905 16526  2.5  2.2  3.34  0.14  27.24  17.25  21.81  23.95  72   305  1741  3.2
 1998
  1  3021 K4  1134  3703 K6  2758  1289 K4   438  6187 14843  3.1  2.9  2.26  0.07  21.39  11.26  16.30  18.53  73    83    21  3.6
  2  3890 K4  1521  4752 K6  3298  1337 K4   537  7465 15620  3.3  3.0  1.97  0.08  22.11  10.83  16.12  18.67  67    79    27  4.4
  3  5472 K4  1315  5940 K6  2595  1758 K4   583  9021 16530  1.9  1.7  2.05  0.10  22.35  10.97  16.55  18.87  65    83    32  4.0
  4  6078 K4  1348  5334 K6  2476  2360 K4   589 10348 17409  3.1  2.5  2.53  0.14  26.80  15.06  20.66  23.04  60    12    90  4.0
  5  6611 K4  1534  5664 K6  2541  2373 K4   538 11131 18104  1.2  1.1  3.14  0.18  31.54  19.90  25.32  27.39  63     0   229  3.1
  6  6944 K4   847  5869 K6  1519  2512 K4   380 11394 18411  1.0  0.9  3.84  0.20  35.37  24.08  29.06  31.11  61     0   342  3.2
  7  5887 K4  1247  4390 K6  1899  2583 K4   337 11208 18151  1.7  1.3  5.02  0.22  33.56  24.17  28.12  29.67  69     0   327  2.8
  8  5692 K4  1238  4564 K6  1864  2325 K4   314 10550 17460  2.0  1.8  4.78  0.21  32.82  23.74  27.63  29.31  72     0   308  2.6
  9  4075 K4  1249  2559 K6  1856  2357 K4   394  9408 16599  2.8  2.4  5.00  0.18  30.38  22.70  25.99  27.72  77     0   246  3.1
 10  4570 K4   938  4956 K6  1988  1735 K4   442  7905 15717  2.5  2.2  3.12  0.14  29.24  19.96  24.03  26.29  71     0   194  3.0
 11  3581 K4   991  4497 K6  2215  1323 K4   314  6479 14930  3.1  2.6  2.81  0.10  26.73  16.82  21.24  23.61  71     7   110  2.2
 12  3085 K4   947  4372 K6  2449  1129 K4   323  5766 14544  3.6  3.3  2.40  0.08  24.31  14.24  18.53  21.20  72    43    73  2.6
 13  4909 K4  1375  4717 K6   960  1923 K4   550  8905 16527  2.4  2.1  3.24  0.14  28.05  17.81  22.46  24.62  68   308  1999  3.2
 1999
  1  3548 K4   802  5026 K6  2112  1199 K4   346  6179 14839  3.4  3.0  1.91  0.07  22.96  11.51  16.80  19.60  68    68    34  3.2
  2  4377 K4  1107  5418 K6  2380  1413 K4   427  7452 15613  2.2  2.1  1.84  0.08  23.18  11.58  16.89  19.61  63    59    32  3.3
  3  5539 K4  1427  6273 K6  2815  1626 K4   574  9007 16520  2.2  1.9  1.65  0.10  24.66  10.39  17.57  20.53  63    46    21  3.5
  4  6390 K4  1384  6098 K6  2331  2110 K4   518 10338 17400  2.4  2.3  2.51  0.14  29.47  17.00  22.78  25.22  66     8   155  3.3
  5  6509 K4   928  5276 K6  1666  2609 K4   471 11126 18098  2.5  2.4  2.71  0.18  29.61  18.29  23.43  25.38  71     3   178  3.4
  6  5356 K4  1518  3332 K6  2211  2778 K4   392 11393 18409  3.9  3.5  4.53  0.20  30.87  22.23  25.63  27.06  79     0   247  2.8
  7  6592 K4   794  5430 K6  1404  2569 K4   390 11211 18159  1.8  1.6  4.23  0.22  33.06  23.45  27.76  29.48  74     0   308  2.7
  8  5821 K4  1022  4593 K6  1615  2418 K4   378 10559 17467  2.6  2.2  4.79  0.21  34.10  23.74  27.88  29.73  76     0   328  3.0
  9  4603 K4  1514  3648 K6  2312  2176 K4   401  9420 16613  4.5  3.9  4.27  0.18  30.94  22.29  25.86  27.70  79     0   249  3.1
 10  3923 K4  1393  3902 K6  2598  1718 K4   482  7919 15726  4.4  4.1  3.26  0.14  27.78  19.55  23.01  24.95  79     1   167  3.7
 11  3690 K4   851  4675 K6  1940  1373 K4   389  6490 14935  3.3  3.2  2.06  0.10  24.69  15.03  19.16  21.51  75    16    62  3.5
 12  3041 K4  1011  4349 K6  2660  1053 K4   341  5768 14543  4.3  4.1  2.15  0.08  21.17  10.83  15.68  18.26  74    90    17  2.8
 13  4949 K4  1249  4835 K6   927  1920 K4   598  8905 16527  3.1  2.9  2.99  0.14  27.71  17.16  21.87  24.09  72   291  1797  3.2
 2000
  1  3496 K4  1026  5182 K6  2639  1068 K4   352  6171 14834  4.2  4.1  1.76  0.07  21.33   9.90  15.13  17.65  71   101    17  3.3
  2  4436 K4  1034  5510 K6  2205  1459 K4   451  7465 15616  2.9  2.8  1.79  0.08  22.72  10.03  15.94  18.93  70    71    14  3.0
  3  5397 K4  1076  5562 K6  2241  1959 K4   531  9044 16540  3.3  3.1  2.17  0.10  26.90  14.31  20.24  22.93  71     3    74  3.9
  4  6585 K4  1365  6446 K6  2305  2041 K4   535 10363 17414  2.8  2.6  1.99  0.14  27.47  14.90  21.02  23.47  64    12    98  3.9
  5  6945 K4   901  6222 K6  1601  2419 K4   460 11137 18109  2.1  1.9  2.73  0.18  32.04  19.45  25.44  27.76  64     0   230  3.6
  6  6083 K4  1473  4886 K6  2146  2503 K4   391 11393 18407  3.7  2.8  4.30  0.20  32.77  22.03  26.63  28.43  71     0   272  3.3
  7  5970 K4  1277  4503 K6  1846  2534 K4   332 11201 18147  3.7  2.9  4.79  0.22  33.17  23.00  27.21  28.80  76     0   302  3.2
  8  5897 K4  1064  4883 K6  1675  2315 K4   309 10537 17447  2.5  2.0  4.60  0.21  32.71  23.03  27.06  28.88  77     0   296  2.6
  9  4793 K4  1426  4057 K6  2073  2111 K4   343  9388 16593  4.3  3.5  4.66  0.18  31.43  22.93  26.46  28.29  82     0   266  2.9
 10  4488 K4   660  4728 K6  1641  1829 K4   432  7881 15706  3.1  2.9  2.63  0.14  27.71  17.23  21.86  24.38  77     4   132  3.5
 11  3636 K4  1035  4664 K6  2337  1275 K4   383  6461 14921  2.9  2.5  2.32  0.10  24.57  11.97  17.89  20.67  75    52    50  2.9
 12  3093 K4   976  4443 K6  2404  1075 K4   318  5764 14542  4.2  4.0  1.80  0.08  20.62   8.75  14.23  16.99  76   142    29  3.5
 13  5068 K4  1268  5090 K6   723  1882 K4   542  8900 16523  3.3  2.9  2.96  0.14  27.79  16.46  21.59  23.93  73   386  1780  3.3
 2001
  1  3601 K4   939  5369 K6  2427  1039 K4   351  6195 14850  4.1  3.8  1.66  0.07  20.06   6.71  12.92  15.92  69   170    17  3.4
  2  3968 K4  1470  4635 K6  2665  1409 K4   375  7480 15630  5.0  4.8  2.51  0.08  24.79  13.81  18.69  21.16  77    31    58  3.0
  3  4748 K4  1784  4660 K6  3146  1792 K4   590  9036 16539  4.4  4.1  2.31  0.10  24.55  13.32  18.63  20.73  69    40    59  4.2
  4  6429 K4  1147  6052 K6  2330  2207 K4   595 10359 17419  3.0  2.5  2.43  0.14  27.81  15.60  21.47  23.98  67     9   110  3.6
  5  6622 K4  1223  5545 K6  1910  2514 K4   441 11137 18110  2.8  2.6  2.73  0.18  30.45  18.76  24.04  26.14  70     0   195  3.4
  6  6042 K4  1364  4684 K6  1923  2500 K4   319 11395 18409  3.4  2.5  4.08  0.20  32.17  22.20  26.29  27.93  78     0   266  3.0
  7  5343 K4  1363  3514 K6  1998  2682 K4   387 11204 18149  4.9  3.8  4.86  0.22  31.90  23.28  26.65  27.90  81     0   287  3.1
  8  5558 K4  1367  4382 K6  2019  2300 K4   372 10541 17449  3.7  2.8  4.61  0.21  32.58  23.02  26.85  28.59  79     0   294  2.6
  9  4367 K4  1565  3391 K6  2344  2093 K4   417  9395 16591  5.5  4.7  4.48  0.18  29.53  21.96  24.94  26.50  83     0   223  3.0
 10  4073 K4  1167  3763 K6  2114  1875 K4   358  7890 15704  5.0  4.4  3.00  0.14  27.13  18.83  22.36  24.26  76     5   149  3.6
 11  3538 K4   889  4331 K6  2106  1369 K4   336  6468 14922  3.8  3.6  2.36  0.10  25.61  16.03  20.16  22.46  80     1    76  3.4
 12  3176 K4   794  4489 K6  2012  1168 K4   304  5764 14541  3.6  3.4  2.18  0.08  23.95  13.74  18.51  21.01  79    54    70  3.1
 13  4789 K4  1186  4568 K6   801  1912 K4   560  8905 16526  4.1  3.6  3.10  0.14  27.54  17.27  21.79  23.88  76   310  1802  3.3
 2002
  1  3185 K4  1127  4316 K6  2871  1168 K4   414  6188 14844  4.5  4.2  2.36  0.07  21.94  10.70  15.93  18.50  79   109    47  3.2
  2  3878 K4  1450  4406 K6  2690  1516 K4   388  7467 15620  4.6  4.2  2.27  0.08  21.64  10.96  16.18  18.47  71    73    16  3.4
  3  5439 K4  1506  5941 K6  2672  1733 K4   523  9022 16530  3.3  3.1  2.58  0.10  26.77  14.55  20.54  23.17  72    29   101  3.6
  4  6122 K4  1498  5493 K6  2296  2270 K4   521 10349 17411  3.8  3.5  3.26  0.14  28.83  18.33  23.26  25.45  74     0   158  2.9
  5  6769 K4  1139  5819 K6  1793  2518 K4   470 11131 18104  3.2  3.0  3.19  0.18  30.61  19.30  24.69  26.71  72     0   205  3.6
  6  5034 K4  1623  3127 K6  2152  2657 K4   426 11394 18410  6.3  5.4  4.75  0.20  30.32  22.28  25.43  26.69  83     0   239  2.7
  7  5894 K4  1324  4462 K6  1902  2497 K4   319 11207 18151  4.4  3.8  4.94  0.22  32.16  23.57  26.93  28.27  80     0   296  2.4
  8  5178 K4  1378  3919 K6  1967  2327 K4   301 10549 17457  4.7  4.0  4.79  0.21  32.04  23.41  26.72  28.19  82     0   291  2.4
  9  4986 K4  1103  4140 K6  1995  2228 K4   350  9407 16597  4.1  3.5  4.89  0.18  32.17  24.18  27.40  29.18  80     0   295  2.9
 10  4677 K4   761  5004 K6  1491  1762 K4   299  7904 15714  3.0  2.8  3.98  0.14  31.02  21.10  25.32  27.74  80     0   240  2.1
 11  3812 K4   865  4955 K6  2040  1291 K4   372  6478 14929  3.4  3.2  2.63  0.10  24.77  13.39  18.81  21.18  73    41    63  2.9
 12  2987 K4  1144  4300 K6  2778  1035 K4   313  5766 14543  4.7  4.3  2.15  0.08  21.42   9.68  15.35  17.95  76   101    15  3.1
 13  4830 K4  1175  4657 K6   820  1917 K4   571  8905 16526  4.2  3.8  3.48  0.14  27.81  17.62  22.21  24.29  77   353  1966  2.9
 2003
  1  3826 K4   659  5876 K6  1733  1033 K4   278  6180 14839  1.9  1.8  1.52  0.07  19.00   6.68  12.58  15.46  66   173     3  3.7
