722080 CHARLESTON INTL ARPT   SC  -5  N32 54  W080  2    12  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  2094 I5  1142  2140 I6  2570  1114 I5   298  5517 14447  7.4  6.4  2.20  0.12  16.54   7.42  11.84  13.46  74   200     3  3.8
  2  3072 I5  1308  3148 I6  2630  1401 I5   372  6891 15399  6.3  5.1  1.46  0.12  14.30   5.27   9.50  11.20  62   239     0  4.1
  3  4115 I5  1734  3964 I6  3182  1703 I5   448  8620 16514  6.1  5.1  1.77  0.14  18.39   8.01  12.90  14.55  67   161     2  4.6
  4  5771 I5  1684  5329 I6  2889  2155 I5   625 10171 17599  4.4  3.1  1.65  0.17  22.20  10.45  16.47  18.51  64    78    18  4.6
  5  5969 I5  1330  4406 I6  2272  2748 I5   434 11153 18465  5.6  4.5  2.85  0.21  27.50  17.30  22.13  23.89  74     2   128  3.2
  6  6302 I5  1435  4712 I6  2498  2821 I5   674 11511 18853  5.2  4.3  3.90  0.23  30.93  21.40  25.70  27.33  77     0   235  3.3
  7  6574 I5  1038  5236 I6  2049  2690 I5   599 11271 18545  4.8  3.5  4.62  0.24  34.76  24.55  28.79  30.35  76     0   351  2.8
  8  5536 I5  1033  4166 I6  2013  2637 I5   482 10434 17697  5.4  4.0  4.32  0.22  32.31  22.91  26.98  28.52  78     0   288  2.9
  9  4798 I5  1192  4104 I6  2320  2165 I5   434  9067 16643  4.5  3.8  3.94  0.19  29.97  21.18  25.11  27.05  78     2   219  2.8
 10  3047 I5  1549  2683 I6  2754  1537 I5   364  7366 15551  6.4  5.7  3.07  0.15  24.25  14.60  19.20  21.01  80    31    65  3.5
 11  2832 I5   873  3443 I6  2233  1212 I5   329  5821 14573  5.5  4.8  2.23  0.11  20.25  10.04  14.84  16.92  70   117    21  3.4
 12  2483 I5   861  3441 I6  2391  1023 I5   254  5070 14083  5.4  4.0  1.49  0.09  14.68   3.57   9.04  11.33  70   285     0  3.6
 13  4383 I5  1631  3898 I6   973  1934 I5   683  8574 16531  5.6  4.5  2.79  0.17  23.84  13.89  18.54  20.34  72  1115  1330  3.6
 1994
  1  2450 I5  1110  3127 I6  2915  1070 I5   300  5509 14442  6.2  5.4  1.58  0.08  13.39   2.60   7.98   9.90  68   320     0  3.8
  2  3212 I5  1408  3558 I6  2871  1327 I5   385  6877 15389  6.1  5.2  1.79  0.08  17.51   6.17  11.56  13.69  70   184     3  3.6
  3  4738 I5  1422  5153 I6  3041  1617 I5   506  8604 16503  5.0  4.0  1.88  0.11  22.09  10.26  16.31  18.36  64    88    22  4.1
  4  6089 I5  1008  5736 I6  2171  2202 I5   610 10159 17591  4.2  2.9  2.21  0.15  26.37  13.80  20.15  22.53  67    19    71  3.4
  5  5854 I5  1813  4662 I6  2816  2490 I5   557 11146 18459  5.3  4.1  2.77  0.18  26.94  16.19  21.40  23.11  67     8   109  3.8
  6  5478 I5  1276  3310 I6  1796  3009 I5   405 11510 18853  6.9  5.7  4.48  0.21  30.92  21.99  25.74  27.15  81     0   244  3.2
  7  5842 I5  1366  4270 I6  2334  2783 I5   483 11275 18552  5.6  4.6  4.73  0.22  31.84  23.64  27.09  28.34  79     0   292  3.1
  8  5426 I5  1203  4143 I6  2226  2575 I5   522 10444 17710  5.2  4.4  4.23  0.21  30.99  22.11  26.11  27.65  76     0   255  2.9
  9  4361 I5  1328  3439 I6  2413  2197 I5   518  9081 16653  5.6  5.0  3.59  0.18  28.69  19.57  23.63  25.55  77     0   174  2.9
 10  3129 I5  1372  2831 I6  2591  1568 I5   382  7381 15559  6.6  5.8  2.78  0.14  23.53  14.24  18.57  20.43  80    29    46  3.5
 11  2605 I5  1031  2887 I6  2298  1205 I5   282  5831 14580  5.7  5.1  2.55  0.10  22.11  11.54  16.76  18.76  73    71    26  3.8
 12  1962 I5   895  2326 I6  2155   983 I5   248  5071 14085  6.8  6.2  2.11  0.08  16.51   8.32  12.09  13.65  76   190     7  4.4
 13  4262 I5  1512  3787 I6  1022  1919 I5   708  8574 16531  5.8  4.9  2.89  0.14  24.24  14.20  18.95  20.76  73   911  1247  3.5
 1995
  1  2579 I5  1045  3617 I6  2898  1013 I5   305  5501 14436  5.1  4.2  1.57  0.06  14.82   4.66   9.63  11.65  72   267     1  4.4
  2  3054 I5  1389  3374 I6  3050  1358 I5   429  6862 15374  5.9  5.4  1.67  0.07  15.14   4.85   9.81  11.39  67   236     3  4.7
  3  4370 I5  1391  4298 I6  2941  1794 I5   573  8589 16493  5.7  4.8  1.97  0.10  21.46   9.75  15.49  17.71  70    98    14  4.0
  4  5865 I5  1540  5684 I6  3019  1994 I5   629 10147 17581  4.6  3.5  2.18  0.14  25.91  14.38  19.99  22.17  70    21    75  4.1
  5  5937 I5  1353  4714 I6  2180  2568 I5   469 11140 18453  5.5  4.1  3.08  0.17  29.55  18.84  23.99  25.77  71     1   183  4.2
  6  5544 I5  1759  3796 I6  2561  2728 I5   517 11509 18852  6.4  5.5  4.03  0.20  30.20  21.28  25.32  26.75  79     0   222  3.5
  7  6167 I5   914  4616 I6  1562  2744 I5   503 11280 18558  5.8  4.3  4.72  0.21  32.84  23.77  27.90  29.40  79     0   309  3.3
  8  5208 I5  1713  3985 I6  2771  2399 I5   539 10454 17717  5.3  4.7  4.77  0.20  31.93  23.90  27.51  28.81  79     0   297  3.8
  9  3513 I5  1475  2194 I6  2172  2079 I5   418  9095 16665  6.4  6.0  4.06  0.17  27.70  20.30  23.45  24.81  84     4   175  3.3
 10  3660 J5  1221  3902 J6  2585  1490 J5   409  7396 15569  5.3  4.8  3.35  0.14  25.41  16.38  20.69  22.60  78    26   106  3.5
 11  3235 J5   824  4706 J6  2451  1065 J5   413  5842 14589  3.9  3.3  1.85  0.10  18.12   5.97  11.99  14.43  72   202    13  3.3
 12  2635 J5   844  4252 J6  2680   864 J5   315  5073 14088  4.0  3.7  1.71  0.08  14.45   2.82   8.35  10.75  70   301     0  3.0
 13  4314 I5  1363  4095 I6   859  1841 I5   682  8574 16531  5.3  4.5  2.91  0.14  23.96  13.91  18.68  20.52  74  1156  1398  3.8
 1996
  1  2623 J5  1099  3955 J6  3042   909 J5   355  5493 14428  4.9  4.6  1.57  0.06  15.02   2.80   8.82  11.02  71   292     0  4.2
  2  3969 J5  1204  5538 J6  2772  1116 J5   356  6877 15383  3.7  3.0  1.56  0.07  17.11   4.94  10.50  12.95  65   216     4  3.8
  3  4415 J5  1597  4887 J7  3205  1511 J5   478  8632 16518  5.0  4.5  1.74  0.10  17.37   6.51  11.70  13.70  66   201     3  4.7
  4  6171 J5  1287  6223 J7  2430  1946 J5   580 10178 17605  3.3  3.0  1.90  0.14  23.66  12.02  17.67  19.81  66    62    48  4.5
  5  6927 J5   984  6641 J6  1859  2203 J5   526 11155 18467  3.0  2.5  2.98  0.18  28.93  18.12  23.19  25.03  73     9   170  3.8
  6  6530 J5   827  5135 J6  1393  2815 J5   418 11510 18852  4.3  3.6  3.77  0.20  30.42  20.68  25.30  27.03  76     0   217  3.2
  7  6989 J6   958  6247 J7  2185  2461 J6   733 11267 18544  2.6  2.2  4.63  0.21  31.78  23.30  26.93  28.19  79     0   286  3.9
