700637 DEADHORSE              AK  -9  N70 12  W148 29    23  1010
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1     6 J6    12    41 J7   101     6 J6    11    35  1812  6.6  5.7  0.28  0.11 -20.29 -27.57 -23.79 -14.36  80  1310     0  6.9
  2   274 J5   179   408 J7   532   228 J5   140   889  9970  6.7  6.1  0.41  0.11 -19.43 -27.81 -23.50 -22.92  79  1175     0  5.8
  3  1406 J5   811  2002 J7  2065   874 J5   361  3259 16119  6.8  5.6  0.37  0.12 -18.96 -25.76 -22.10 -21.40  78  1261     0  4.9
  4  2350 J5  1243  2118 J6  2696  1524 J5   525  6639 22118  8.5  7.6  0.52  0.13 -10.36 -17.08 -13.71 -13.16  85   962     0  4.8
  5  2978 J5  1815  2747 J6  4068  1768 J5   502  9969 29823  8.2  7.8  0.94  0.13  -1.39  -5.91  -3.66  -3.55  89   681     0  7.6
  6  4041 J5  1694  2692 J6  2433  2685 J5   654 11767 31778  8.6  7.7  1.35  0.12   7.49   1.13   4.29   4.29  81   421     0  5.5
  7  4321 J5  1821  4362 J6  3661  2166 J5   549 10762 31355  7.2  6.7  1.85  0.10  14.74   6.47  10.33  10.34  81   240     0  5.7
  8  1894 J5   973  1004 J6  1746  1489 J5   350  7666 23985  9.4  8.9  1.29  0.08   9.08   3.09   6.06   6.37  85   380     0  5.1
  9  1249 J5   712  1258 J7  1839   863 J5   274  4260 17811  8.7  8.3  0.78  0.06   4.05  -1.29   1.27   1.89  86   509     0  6.2
 10   379 J5   225   361 J7   556   327 J5   178  1500 11928  9.1  8.2  0.73  0.05  -2.72  -7.46  -4.75  -4.25  88   726     0  6.4
 11    36 J6    55   139 J7   295    30 J6    44   140  4012  7.4  6.8  0.40  0.04 -11.86 -18.89 -15.30  -8.74  83  1011     0  6.1
 12     0 I0     0     0 I0     0     0 I0     0     0     0  7.0  5.7  0.37  0.04 -19.71 -25.11 -22.33   0.00  77  1263     0  7.6
 13  1578 J5  1563  1428 J7  1374   997 J5   920  4740 16726  7.9  7.1  0.77  0.09  -5.78 -12.18  -8.93  -5.46  83  9937     0  6.0
 1994
  1     7 J6    12    81 J7   163     6 J6    10    34  1767  6.1  5.0  0.36  0.05 -21.13 -26.57 -23.88 -10.20  73  1308     0  7.4
