722015 KEY WEST NAS           FL  -5  N24 35  W081 41     7  1012
 1991-2010
 MO AVGLO FL SDGLO AVDIR FL SDDIR AVDIF FL SDDIF AVETR AETRN  TOT  OPQ   H2O   TAU  MAX_T  MIN_T  AVG_T  AVGDT  RH  HTDD  CLDD AVWS
  1  3635 J5   853  3735 J6  1739  1578 J5   277  6862 15221  4.4  4.1  3.45  0.19  26.02  20.96  23.15  24.19  70     0   160  4.2
  2  3913 J5   705  2674 J6  1237  2243 J5   281  8039 15844  5.9  5.6  2.60  0.19  23.79  18.66  21.12  22.13  63     3    84  4.6
  3  5132 J5  1415  4601 J6  2379  2022 J5   466  9406 16566  3.8  3.5  2.82  0.19  24.69  19.46  21.92  22.93  71     8   124  3.9
  4  5732 J5  1281  4414 J6  1958  2485 J5   462 10493 17244  4.9  4.6  2.58  0.20  26.08  20.42  23.31  24.40  64     0   148  4.5
  5  5885 J5  1029  3846 J6  1898  2961 J5   475 11068 17777  5.7  5.5  3.42  0.20  28.29  23.76  25.85  26.61  62     0   239  4.2
  6  5976 J5  1328  4482 J6  2651  2622 J5   764 11229 17999  4.9  4.3  4.24  0.19  30.76  26.20  28.44  29.29  68     0   304  3.5
  7  6040 J5  1115  4534 J6  1951  2610 J5   578 11089 17782  4.9  4.6  4.45  0.21  32.01  27.08  29.50  30.30  68     0   348  2.6
  8  5567 J5  1211  3871 J6  1959  2681 J5   507 10604 17219  5.3  4.8  4.50  0.17  32.25  27.05  29.52  30.54  64     0   351  2.6
  9  5054 J5   970  3670 J6  1696  2407 J5   380  9686 16545  5.9  5.2  4.90  0.17  31.18  26.16  28.70  29.61  63     0   310  3.0
 10  4029 J5  1105  3124 J6  2093  2030 J5   386  8392 15861  6.1  5.6  4.75  0.17  30.38  25.00  27.29  28.44  73     0   290  2.9
 11  3552 J5   834  3145 J6  1849  1767 J5   304  7109 15255  4.6  4.4  3.57  0.17  27.73  22.94  25.00  25.95  75     0   210  3.2
 12  3419 J5   815  3919 J6  2131  1411 J5   360  6457 14967  4.5  4.2  2.84  0.14  24.41  18.71  21.29  22.42  63     6   107  3.1
 13  4828 J5  1041  3835 J6   618  2235 J5   479  9203 16523  5.1  4.7  3.67  0.18  28.13  23.03  25.42  26.40  67    17  2674  3.5
 1994
  1  3204 J5   918  3051 J6  1918  1581 J5   270  6854 15216  5.6  5.4  2.96  0.15  24.28  18.89  21.34  22.41  70     4   105  3.9
  2  4062 J5   939  3554 J6  1840  1901 J5   434  8027 15837  5.4  4.9  3.16  0.15  26.26  21.06  23.40  24.50  80     3   152  3.5
  3  5388 J5   853  4850 J6  1969  2103 J5   534  9394 16549  4.5  4.2  2.95  0.16  26.79  21.09  23.75  24.95  74     0   174  3.2
  4  5882 J5  1186  4761 J6  2157  2418 J5   540 10485 17237  5.0  4.5  3.38  0.17  29.08  23.95  26.33  27.41  73     0   246  3.5
  5  6080 J5   690  4322 J6  1414  2758 J5   444 11064 17766  6.1  6.0  3.87  0.18  30.44  25.27  27.81  28.70  71     0   295  2.6
  6  5396 J5  1143  3347 J6  1960  2888 J5   495 11228 17999  6.4  6.0  4.68  0.17  32.15  27.47  29.67  30.46  73     0   344  2.6
  7  5305 J5   825  2986 J6  1227  3019 J5   273 11092 17785  7.3  6.8  4.54  0.19  32.01  26.99  29.40  30.16  73     0   346  3.0
  8  5579 J5   992  3827 J6  1338  2680 J5   344 10610 17225  6.8  6.0  4.69  0.15  31.70  26.30  29.07  29.93  76     0   331  2.2
  9  4860 J5  1091  3215 J6  1616  2528 J5   371  9696 16552  7.1  6.2  4.87  0.16  31.00  26.06  28.49  29.31  79     0   306  2.5
 10  4703 J5   656  4421 J6  1623  1929 J5   441  8404 15865  4.2  4.1  4.02  0.16  30.18  24.85  27.32  28.49  77     0   285  2.5
 11  3747 J5   560  3676 J6  1535  1709 J5   340  7118 15260  4.7  4.6  3.44  0.16  28.30  23.65  25.75  26.73  80     0   229  3.8
 12  3367 J5   601  3632 J6  1573  1507 J5   302  6459 14967  5.4  5.0  3.02  0.13  26.10  21.42  23.36  24.49  77     0   168  3.6
 13  4798 J5   984  3803 J6   644  2252 J5   530  9203 16521  5.7  5.3  3.80  0.16  29.02  23.92  26.31  27.29  75     7  2982  3.1
 1995
  1  3488 J5   808  3559 J6  1963  1590 J5   370  6847 15214  4.9  4.8  2.54  0.14  24.10  18.37  21.02  22.21  73     5    95  3.5
  2  4011 J5   939  3390 J6  1578  1937 J5   373  8015 15828  5.6  5.3  2.39  0.14  24.66  18.16  21.21  22.64  76     8    94  3.1
  3  5093 J5   788  4106 J6  1393  2262 J5   353  9382 16539  5.5  5.4  2.73  0.16  26.34  20.45  23.29  24.45  72     0   157  3.6
  4  5356 J5  1081  3758 J6  1715  2595 J5   340 10477 17224  6.1  5.9  3.17  0.16  28.12  22.79  25.39  26.49  75     0   214  4.7
  5  5960 J5  1001  4332 J6  1748  2707 J5   397 11060 17762  6.0  5.7  3.69  0.17  30.51  25.35  27.81  28.75  75     0   298  4.2
  6  5408 J5  1164  3350 J6  1844  2874 J5   443 11228 17999  7.1  6.6  4.69  0.17  30.63  25.56  28.04  28.78  78     0   293  4.2
  7  5185 J5  1177  2853 J6  1728  2965 J5   375 11094 17789  7.2  6.8  4.86  0.18  31.76  26.20  28.74  29.53  76     0   330  3.5
  8  5929 J5  1098  4710 J6  2061  2435 J5   579 10617 17235  5.7  4.8  4.90  0.15  31.87  26.31  29.05  30.15  76     0   334  3.6
  9  4866 J5   856  3303 J6  1493  2518 J5   389  9707 16563  7.1  6.2  5.16  0.16  31.74  25.94  28.65  29.67  77     0   315  3.5
 10  3959 J5   919  2753 J6  1777  2198 J5   388  8416 15870  6.6  6.0  5.29  0.15  29.87  25.19  27.35  28.17  82     0   285  4.5
